contamination_type,volume_barrels,river_flow_m3s,distance_km,pop_density_per_km2,biodiversity_index,season,people_affected_7d,people_affected_30d,fish_dieoff_pct,recovery_days
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
hydrocarbon,150.0,1200,15.0,4.5,0.82,wet,135,418,51.6,89
